,t,Q,TG,DG,MG,G,ME
319,159.5,5.0,0.055651322,0.0673641,0.062014326,0.47164074,1.567477
320,160.0,5.0,0.055476367,0.06716403,0.061844736,0.47218913,1.568577
321,160.5,5.0,0.055303097,0.06696604,0.061676532,0.47273248,1.5696663
322,161.0,5.0,0.05513169,0.06677003,0.061509803,0.4732707,1.5707452
323,161.5,5.0,0.054961875,0.066576004,0.06134452,0.47380403,1.5718143
324,162.0,5.0,0.054793924,0.06638387,0.0611808,0.4743324,1.5728734
325,162.5,5.0,0.054627404,0.066193745,0.061018452,0.47485593,1.5739224
326,163.0,5.0,0.054463193,0.06600565,0.0608577,0.4753745,1.5749614
327,163.5,5.0,0.05430028,0.06581953,0.06069854,0.4758883,1.5759909
328,164.0,5.0,0.054139137,0.06563538,0.060540855,0.4763974,1.5770106
329,164.5,5.0,0.053979963,0.06545329,0.060384527,0.47690165,1.5780206
330,165.0,5.0,0.05382234,0.06527303,0.060229912,0.47740138,1.5790215
331,165.5,5.0,0.053666458,0.0650949,0.060076848,0.47789645,1.5800132
332,166.0,5.0,0.053512335,0.06491865,0.059925213,0.47838682,1.580995
333,166.5,5.0,0.05335991,0.06474434,0.059775144,0.47887272,1.5819682
334,167.0,5.0,0.05320917,0.06457198,0.059626594,0.47935414,1.5829324
335,167.5,5.0,0.053060353,0.06440164,0.05947958,0.4798311,1.5838877
336,168.0,5.0,0.052912936,0.0642332,0.059334144,0.48030353,1.584834
337,168.5,5.0,0.05276729,0.06406671,0.05919011,0.48077178,1.5857719
338,169.0,5.0,0.052623376,0.06390214,0.05904761,0.48123556,1.5867009
339,169.5,5.0,0.052481085,0.06373948,0.058906764,0.48169512,1.5876215
340,170.0,5.0,0.052340537,0.06357862,0.05876732,0.48215038,1.5885339
341,170.5,5.0,0.052201524,0.06341976,0.05862944,0.4826014,1.5894378
342,171.0,5.0,0.05206421,0.06326282,0.058493033,0.48304844,1.5903336
343,171.5,5.0,0.05192846,0.06310761,0.058358192,0.48349124,1.5912211
344,172.0,5.0,0.05179438,0.06295428,0.058224663,0.48393005,1.5921011
345,172.5,5.0,0.051661864,0.06280281,0.058092773,0.48436475,1.5929726
346,173.0,5.0,0.051530957,0.062653095,0.057962358,0.4847957,1.5938367
